Age,Depth,MS,Ti,Fe,Sr,S,Ca,Sr/Ca,S/Ca
377.72,0,-0.03,0,1219.61,12.68,51767.9,1202.27,0.010546716,43.0584644
412.769,0.5,0.05,0,2417.81,22.1,52245.13,2529.71,0.008736179,20.65261631
447.818,1,2.45,0,4946.94,43.04,53615.45,4605.09,0.00934618,11.64264976
482.867,1.5,4.73,255.9,6880.33,98.96,57982.52,6936.52,0.01426652,8.359021527
517.916,2,4.68,0,5815.27,88.33,57687.26,6944.88,0.012718722,8.30644446
552.965,2.5,4.94,263.73,6869.42,86.54,58321.23,6877.99,0.012582164,8.479400232
588.014,3,5.4,466.51,8171.44,113.06,61180.93,8272.55,0.013666886,7.395655511
623.063,3.5,4.54,0,6688.3,91.62,64678.38,7423.44,0.012341987,8.712723481
658.112,4,4.46,352.8,7689.86,85.74,63112.47,6965.43,0.012309362,9.060814623
693.161,4.5,2.35,343.07,7507.52,82.67,61194.74,6926.72,0.011934942,8.834591264
728.21,5,4.38,392.13,7600.1,100.73,61942.8,6612,0.015234422,9.368239564
763.259,5.5,5.12,0,6451.76,73.03,73089.45,4691.92,0.015565057,15.57772724
798.308,6,4.05,331.91,6617.3,75.02,71153.55,5907.73,0.012698617,12.04414386
833.357,6.5,4.52,501.27,7753.8,84.35,70120.69,6735.06,0.012524016,10.41129403
868.406,7,4.25,219.75,6529.07,109.45,75270.67,5803.08,0.018860674,12.97081377
903.455,7.5,5.42,325.99,8103.41,91.28,73210.46,6276.06,0.014544157,11.66503507
938.504,8,6.04,506.6,8375.68,97.53,72288.71,7827.29,0.012460251,9.235471025
973.553,8.5,7.49,514.18,8969.72,117.19,69622.41,9711.53,0.0120671,7.169046484
1008.602,9,6.54,557.9,8412.84,139.34,71376.74,10086.55,0.013814436,7.07642752
1043.651,9.5,4.87,382.3,7446.63,97.45,73682.15,7155.81,0.013618305,10.29682873
1078.7,10,12.78,543.46,8295.36,78.62,70925.57,6909.7,0.011378207,10.26463812
1113.749,10.5,11.16,384.83,7765.72,81.05,70095.91,6560.89,0.012353507,10.68390264
1148.798,11,7.36,376.38,7894.64,88.54,71364.49,5963.22,0.014847683,11.96744209
1183.847,11.5,3.61,293.9,6854.39,88.29,74534.67,4783.44,0.018457428,15.58181351
1218.896,12,10.17,217.04,7493.69,90.43,74366.75,4980.49,0.018156848,14.93161315
1253.945,12.5,3.97,538.62,7779.63,95.91,73469.54,6090.44,0.015747631,12.06309232
1288.994,13,9.68,320.34,7586.59,79.73,71393.17,5802.01,0.013741789,12.30490296
1324.043,13.5,7.15,324.86,7765.17,85.95,71974.44,6159.66,0.013953692,11.68480728
1359.092,14,11.43,335.19,7251.42,99.7,76003.15,5148.51,0.019364826,14.7621642
1394.141,14.5,11.82,416.57,7596.3,83.43,73713.25,6155.14,0.013554525,11.9758852
1429.19,15,15.09,281.24,7083.55,76.4,73656.03,5609.07,0.013620796,13.13159401
1464.239,15.5,7.93,0,7282.28,70.31,72397.37,5437.26,0.012931145,13.31504655
1499.288,16,16.18,312.49,6636.16,78.25,74920.58,6272.54,0.01247501,11.94421718
1534.337,16.5,9.27,0,4919.07,85.79,75365.32,6395.98,0.013413113,11.78323259
1569.386,17,16.49,205.98,5684.16,79.08,75630.4,5778.82,0.013684455,13.08751614
1604.435,17.5,-1.51,0,4324.18,60.24,74724.62,4606.7,0.013076606,16.22085658
1639.484,18,0.97,0,3422.95,40.77,74063.59,4514.2,0.009031501,16.40680298
1674.533,18.5,14.27,0,5241.68,66.92,68473.27,7467.88,0.008961044,9.169037264
1709.582,19,1.96,0,5146.89,70.67,68333.18,7547.03,0.009363948,9.054314081
1744.631,19.5,9.46,0,4947.13,92.92,67892.02,8815.87,0.010540083,7.701114014
1779.68,20,12.43,0,4529.87,96.47,66300.42,9970.47,0.009675572,6.649678501
1814.729,20.5,4.71,262.62,5215.95,133.91,69360.85,9394.54,0.014254024,7.383102313
1849.778,21,9.05,215.05,6305.12,117.14,69926.66,8754.72,0.013380211,7.987309703
1884.827,21.5,10.67,360.61,6884.01,131.03,70033.81,8546.16,0.015332032,8.194769347
1919.876,22,8.92,415.14,8585.52,124.07,69718.01,7853.49,0.015798072,8.877328423
1954.925,22.5,11.46,289.98,8300.26,115.06,72720.05,6329.49,0.0181784,11.48908522
1989.974,23,11.96,306.5,6524.13,151.16,78626.23,6403.11,0.023607278,12.27938143
2025.023,23.5,11.39,590.95,7856.69,126.64,70512.19,6951.83,0.018216786,10.14296811
2060.072,24,3.13,698.16,10875.81,108.6,61918.32,7059.19,0.015384201,8.771306623
2095.121,24.5,5.17,0,7555.03,93.93,74229.86,5605.63,0.016756368,13.24201918
2130.17,25,3.17,529.43,9367.61,119.28,77872.97,5940.8,0.020078104,13.1081622
2165.219,25.5,13.57,561.78,10486.36,120.23,76844.56,7105.19,0.016921433,10.81527165
2200.268,26,12.78,585.64,10734.86,114.57,74040.44,7321.25,0.015648967,10.11308725
2235.317,26.5,10.7,927.73,13129.41,113.27,69585.8,8260.67,0.013711963,8.423747711
2270.366,27,9.41,743.53,12124.43,112.18,72865.81,8274.9,0.013556659,8.805642364
2305.415,27.5,13.16,854.67,12701.52,116.68,71370.37,8213.2,0.014206399,8.689715336
2340.464,28,17.06,426.96,10346.71,109.32,77837.13,5115.3,0.021371181,15.21653275
2375.513,28.5,12.53,380.46,10258.58,106.05,78887.1,4005.72,0.026474641,19.69361313
2410.562,29,6.78,402.36,10249,106.69,77325.26,3379.57,0.031569105,22.88020665
2445.611,29.5,16.83,232.53,8188.54,108.29,82478.11,2415.25,0.044835938,34.14889142
2480.66,30,10.61,314.85,8551.83,105.81,81767.8,3225.35,0.032805742,25.35160525
2515.709,30.5,20,543.74,10591.28,120.39,81317,5702.07,0.021113385,14.26096137
2550.758,31,14,914.26,13130.74,118.49,70183.4,8505.1,0.013931641,8.251919437
2585.807,31.5,18.63,717.99,13311.99,115.08,76636.71,6693.75,0.017192157,11.44899496
2620.856,32,17.39,716.03,13515.4,133.04,77279.34,7290.92,0.018247354,10.59939486
2655.905,32.5,29.16,753.27,14330.32,137.28,76931.85,7396.3,0.018560632,10.40139664
2690.954,33,15.92,812.68,12681.93,120.15,78605.53,4783.69,0.025116594,16.4319866
2726.003,33.5,10.01,624.87,10614.96,110.57,74100.44,5989.81,0.018459684,12.37108356
2761.052,34,9.89,878.52,13934.45,112.16,70832.63,8535.56,0.013140321,8.29853343
2796.101,34.5,10.77,673.09,11600.96,105.07,80000.58,5856.38,0.017941117,13.6604148
2831.15,35,10.04,481.84,8465.96,101.31,88130.15,3766.34,0.026898793,23.39941429
2866.199,35.5,14.76,0,6032.38,103.57,88813.6,3407.94,0.030390793,26.06078746
2901.248,36,29.35,610.7,10065.77,115.35,85328.66,5237.1,0.022025548,16.2931126
2936.297,36.5,27.48,0,4327.77,96.48,91466.53,600.9,0.160559161,152.2158928
2971.346,37,19.18,0,5643.71,96.98,87930.66,878.45,0.110398998,100.0975127
3006.395,37.5,24.1,0,5921.87,109.25,92044.86,826,0.132263923,111.4344552
3041.444,38,37.52,0,5594.12,115.96,92653.69,609.64,0.190210616,151.9809888
3076.493,38.5,25.67,0,7447.55,112.73,87324.05,2820.3,0.039970925,30.96268128
3111.542,39,31.95,252.1,8284.92,116.51,88078.55,3350,0.034779104,26.29210448
3146.591,39.5,36.41,252.52,8475.79,109.44,88542.81,2544.76,0.04300602,34.79416919
3181.64,40,31.95,349.18,9994.41,118.34,88859,2982.11,0.039683311,29.79735825
3216.689,40.5,26.6,327.61,9492.19,125.35,89149.68,2582,0.048547637,34.52737413
3251.738,41,33.55,235.79,9803.09,131.08,90029.98,2075.95,0.063142176,43.3680869
3286.787,41.5,34.85,700.81,11934.39,135.48,85173.66,4978.51,0.027212961,17.10826332
3321.836,42,26.33,664.08,11531.21,133.34,81676.41,5680.07,0.023475063,14.37947244
3356.885,42.5,31.57,429.44,11389.53,146.56,87746.11,4684.6,0.031285489,18.73075823
3391.934,43,25.55,1043.48,13145.96,151.98,80460.77,7742.33,0.01962975,10.39231988
3426.983,43.5,30.99,901.14,12536.02,154.18,83485.04,7608.13,0.020265164,10.97313532
3462.032,44,26.11,406.93,10373.46,151.75,87423.58,4571.75,0.033192979,19.12256357
3497.081,44.5,21.16,857.39,11514.53,162.24,85171.67,6988.61,0.023214917,12.18721176
3532.13,45,18.92,621.15,10678.73,150.92,86077.16,6110.56,0.024698227,14.08662381
3567.179,45.5,10.87,405.42,9860.32,143.31,87366.17,6145.48,0.023319578,14.21632973
3602.228,46,21.02,522.34,11312.68,146.29,85130.37,6775.22,0.021591919,12.56496025
3637.277,46.5,16.14,0,7752,132.29,88904.4,3293.26,0.040169923,26.99586428
3672.326,47,19.93,288.12,7226.46,132.05,87017.05,4805.25,0.02748036,18.10874564
3707.375,47.5,31.52,416.56,9139.25,156.6,86332.7,6236.83,0.025108909,13.84240071
3742.424,48,18.77,251.23,9116.19,151.3,87220.78,5256.27,0.02878467,16.59366433
3777.473,48.5,30.64,547.71,11524.56,148.3,82406.46,7971.95,0.018602726,10.33705179
3812.522,49,33.91,554.11,11749.74,138.44,83131.37,7661.61,0.018069309,10.85037871
3847.571,49.5,26.15,581.71,12597.53,143.05,80646.56,8697.97,0.016446366,9.27188298
3882.62,50,16.8,688.43,12596.35,122.99,82033.6,8530.84,0.014417103,9.616122211
3917.669,50.5,11.85,928.95,14087.63,125.31,80909.38,8211.63,0.015260064,9.85302309
3952.718,51,17.31,802.49,14152.07,116.65,80429.67,7648.36,0.015251636,10.51593675
3987.767,51.5,5.95,663.1,12080.35,113.83,81291.66,6681.05,0.017037741,12.16749762
4022.816,52,11.14,481.69,12336.61,115.51,80847.46,6402.52,0.018041334,12.62744357
4057.865,52.5,6.78,723.38,13423.41,116.18,80014.24,8368.77,0.013882566,9.561051385
4092.914,53,12.8,578.39,11951.61,108.77,80748.62,5891.23,0.018463037,13.7065808
4127.963,53.5,8.25,438.19,11290.46,105.75,82982.65,5454.38,0.019388088,15.21394732
4163.012,54,17.02,479.68,12088.09,114.77,83016.44,4689.83,0.024472102,17.7013751
4198.061,54.5,17.45,561.58,13051.37,118.51,80859.98,7442.46,0.015923498,10.86468453
4233.11,55,4.19,612.92,13526.28,115.94,76512.72,8652.75,0.013399208,8.842589928
4268.159,55.5,8.28,754.83,14854.94,115.54,78631.92,7144.01,0.01617299,11.00669232
4303.208,56,15.46,327.47,9561.31,106.57,82163.42,5018.72,0.021234498,16.37138952
4338.257,56.5,7.99,632.92,12736.72,123.2,81149.37,7544.96,0.016328781,10.75544072
4373.306,57,14.58,439.83,11706.07,118.9,81484.67,6529.21,0.018210473,12.48001979
4408.355,57.5,6.16,686.88,12482.63,111.99,78920.19,8448.61,0.013255435,9.341204056
4443.404,58,0.91,597.55,12312.25,116.51,75595.48,9257.42,0.01258558,8.165933921
4478.453,58.5,11.51,754.39,13893.97,118.14,65867.3,9607.75,0.012296323,6.85564258
4513.502,59,4.06,1395.99,17851.2,127.14,61310.71,16763.73,0.007584231,3.657342966
4548.551,59.5,13.54,1448.49,18267.7,129.53,60004.35,16959.67,0.007637531,3.538061177
4583.6,60,13.52,1242.53,18312.93,125.84,60937.44,17011.43,0.007397379,3.582146827
4618.649,60.5,12.99,1361.78,18926.78,126.08,67871.79,14801.46,0.008518079,4.585479405
4653.698,61,11.54,948.5,15837.85,117.96,72445.31,12586.28,0.00937211,5.755895308
4688.747,61.5,12.04,749.87,13804.67,106.97,69939.65,8543.52,0.0125206,8.186280362
4723.796,62,5.95,510.89,11690.5,100.56,76195.91,6000.87,0.01675757,12.6974772
4758.845,62.5,0.22,919.68,16614.65,127.38,74163.5,11147.95,0.011426316,6.652658112
4793.894,63,9.78,1588.81,20810.4,135.31,67435.87,15566.66,0.008692295,4.332070592
4828.943,63.5,9.46,1678.31,21841.71,137.17,66276.22,16274.65,0.008428445,4.07235916
4863.992,64,8.13,1442.53,20698.23,132.21,66878.59,14657.65,0.009019863,4.562708893
4899.041,64.5,14.17,1920.08,23143.73,134.41,58206.5,18010.72,0.007462778,3.231769746
4934.09,65,9.63,2238.16,24643.77,133.96,53072.25,19879.28,0.006738675,2.669726972
4969.139,65.5,8.21,2095.82,23728.52,140.9,55364.72,20644.92,0.006824924,2.681759968
5004.188,66,14.46,2054.79,23836.28,149.51,58503.06,20322.03,0.007357041,2.878800002
5039.237,66.5,19.01,2048.85,24014.22,134.22,56390.55,20184.5,0.006649657,2.793755109
5074.286,67,18.51,2011.48,24120.02,141.82,53888.01,21259.92,0.006670768,2.534723085
5109.335,67.5,12.1,2162.11,24788.24,147.79,55965.15,21125.95,0.006995662,2.649118738
5144.384,68,8.26,2257.04,25002.54,140.83,54558.64,20484.25,0.006875038,2.663443377
5179.433,68.5,18.72,2422.08,27814.86,147.85,52844.93,21136.4,0.006995042,2.500185935
5214.482,69,20.67,2312.31,27799.78,143.55,52517.71,20590.67,0.006971604,2.550558578
5249.531,69.5,21.45,2441.84,27266.95,148.49,56075.3,18894.94,0.007858718,2.967741628
5284.58,70,17.06,2309.39,25928.01,141.22,53884.88,16651.37,0.008480984,3.236062858
5319.629,70.5,17.45,1995.81,24882.11,133.67,53655.87,17332.73,0.007711999,3.095638714
5354.678,71,13.73,2292.39,27009.43,138.66,51152.22,19869.83,0.006978419,2.574366263
5389.727,71.5,27.37,2642.77,30024.49,141.14,47472.75,21062.78,0.00670092,2.253869147
5424.776,72,29.79,2682,31772.09,138.34,46048.29,20276.78,0.006822582,2.27098632
5459.825,72.5,31.49,2980.29,31650.45,141.96,46202.61,21109.83,0.006724829,2.188677502
5494.874,73,34.21,2798.08,31382.64,140.62,42605.54,21404.57,0.006569625,1.990488013
5529.923,73.5,25.54,2916.26,32901.26,140.86,40999.87,21398.12,0.006582821,1.916050102
5564.972,74,25.27,2926.59,32703.01,140.38,40062.9,22013.89,0.006376883,1.819891896
5600.021,74.5,27.21,2903.71,31266.29,139.5,41291.67,21517.08,0.006483222,1.919018287
5635.07,75,29.91,2645.37,30198.16,140.8,44466.29,20126.87,0.006995623,2.209299807
5670.119,75.5,32.19,2942.73,31719.4,136.84,41764.35,20318.38,0.006734789,2.055496058
5705.168,76,48.25,3227.46,34462.24,139.17,38008.18,22416.73,0.00620831,1.695527403
5740.217,76.5,51.34,3214.13,36114.56,144.67,36532.53,21951.21,0.006590525,1.664260421
5775.266,77,45.42,3232.04,36311.24,141.42,34575.87,21390.62,0.006611309,1.616403358
5810.315,77.5,49.64,3549.65,37519.6,150.27,35449.88,22494.64,0.006680258,1.575925643
5845.364,78,40.06,3294.49,36529.3,151.07,36393.87,22493.64,0.006716121,1.617962677
5880.413,78.5,53.8,3520.35,36623.67,149.95,36939.15,22847.76,0.006563007,1.616751489
5915.462,79,70.75,3566.04,37576.94,143.9,34611.89,23296.15,0.006176986,1.485734338
5950.511,79.5,51.58,3490.54,37027.8,157.63,37414.36,24899.41,0.006330672,1.502620343
5985.56,80,46.9,3562.97,36703.74,151.19,39300.58,25008.19,0.006045619,1.571508374
6020.609,80.5,37.68,3291.84,37084.88,156.18,39915.29,24435.18,0.006391604,1.63351733
6055.658,81,36.2,3383.02,37746.09,150.2,38763.29,25912.93,0.005796334,1.495905326
6090.707,81.5,39.77,3385.75,37411.03,149.42,37568.66,24826.59,0.006018547,1.513242858
6125.756,82,45.51,3713.38,39026.24,149.89,36283.49,25368.7,0.005908462,1.430246327
6160.805,82.5,40.83,3246.42,36527.33,154.57,36923.89,24877.72,0.00621319,1.484215193
6195.854,83,39.32,3203.79,36381.63,141.55,38370.35,22468.37,0.006299967,1.707749605
